page_count,avg_page_length,entity_density,relation_indicators,topic_diversity,topic_transitions,is_qna_pattern,is_decision_tree,is_entity centric,time_span,temporal_density,semantic_complexity,hyperedge_density,visual_salience_score
6.0,125.083336,1.3333334,1.6666666,2.0,2.2,1.0,0.0,1.0,0.039861113,3.0,0.057845548,8.0,0.15914392
6.0,95.666664,1.5,2.1666667,1.1666666,1.2,1.0,0.0,1.0,0.03263889,3.6666667,0.07972427,8.833333,0.19463456
8.0,51.9375,1.0,1.0,1.75,2.0,1.0,0.0,1.0,0.019097222,2.0,0.064197585,5.375,0.0
5.0,99.7,1.0,0.4,2.0,2.25,1.0,0.0,1.0,0.031597223,1.4,0.06477271,4.4,0.19190314
6.0,195.91667,1.1666666,1.3333334,2.0,2.2,0.0,0.0,1.0,0.069861114,2.5,0.039259844,8.333333,0.21131733
8.0,47.5625,1.5,1.125,2.0,2.142857,1.0,0.0,1.0,0.023125,2.625,0.062352587,7.875,0.0
7.0,48.785713,1.2857143,1.4285715,2.0,2.1666667,1.0,0.0,1.0,0.019305555,2.7142856,0.068408094,6.857143,0.0
6.0,60.666668,1.6666666,1.3333334,1.6666666,1.8,1.0,0.0,1.0,0.023472222,3.0,0.058568936,9.333333,0.16495794
6.0,138.58333,1.3333334,1.0,2.0,2.2,1.0,0.0,1.0,0.055416666,2.3333333,0.044084314,6.1666665,0.18041153
6.0,103.166664,1.8333334,1.3333334,1.6666666,2.2,1.0,0.0,1.0,0.034930557,3.1666667,0.05355359,6.3333335,0.2063037
8.0,47.8125,1.375,1.375,1.25,1.4285715,1.0,0.0,1.0,0.029166667,2.75,0.04557139,5.625,0.12344668
6.0,64.333336,1.1666666,1.0,2.0,2.2,1.0,0.0,1.0,0.02861111,2.1666667,0.0587771,7.6666665,0.16515192
6.0,146.41667,2.0,1.5,2.0,2.2,1.0,0.0,1.0,0.05076389,3.5,0.0389484,9.333333,-0.26567787
7.0,46.57143,0.85714287,0.71428573,1.7142857,2.0,1.0,0.0,1.0,0.020625,1.5714285,0.03935438,4.571429,0.14130135
8.0,45.375,1.5,1.375,2.0,2.142857,0.0,0.0,1.0,0.027638888,2.875,0.059861545,6.25,0.051883977
5.0,100.5,1.6,1.8,1.2,1.25,1.0,0.0,1.0,0.030694444,3.4,0.037210274,9.2,0.19246009
5.0,63.5,0.8,0.6,2.0,2.25,1.0,0.0,1.0,0.017847221,1.4,0.03712675,4.4,0.19667444
6.0,133.33333,1.1666666,0.8333333,1.0,1.2,1.0,0.0,1.0,0.04909722,2.0,0.058729295,6.3333335,0.16019545
8.0,47.125,0.75,0.625,2.0,2.142857,0.0,0.0,1.0,0.023472222,1.375,0.057596575,4.375,0.0
6.0,62.083332,1.6666666,1.6666666,2.0,2.2,1.0,0.0,1.0,0.025277779,3.3333333,0.057206426,8.333333,-0.115534216
6.0,121.666664,1.1666666,1.1666666,2.0,2.2,1.0,0.0,1.0,0.032222223,2.3333333,0.03840574,6.8333335,0.0
6.0,144.83333,2.0,2.0,1.1666666,1.2,1.0,0.0,1.0,0.05659722,4.0,0.038894054,12.0,0.0
6.0,124.5,1.3333334,0.6666667,2.0,2.2,1.0,0.0,1.0,0.037916668,2.0,0.060143594,4.5,0.07311885
